AGE,POPULATION
0,669797
1,692792
2,715313
3,715338
4,722190
5,739193
6,762279
7,747953
8,734922
9,723973
10,730400
11,707081
12,693698
13,665305
14,654298
15,636635
16,626758
17,646478
18,665716
19,695208
20,710556
21,736060
22,744632
23,750139
24,776573
25,780493
26,804754
27,823696
28,810146
29,803183
30,810707
31,790185
32,798091
33,798182
34,778865
35,783943
36,782168
37,788644
38,789196
39,756950
40,705892
41,694545
42,706504
43,720224
44,732790
45,764283
46,796709
47,822210
48,801625
49,820570
50,818867
51,830363
52,829527
53,833305
54,825069
55,805341
56,786823
57,758454
58,726141
59,708805
60,692912
61,665813
62,640567
63,616708
64,618026
65,608353
66,589366
67,591577
68,602165
69,615315
70,646927
71,697564
72,533973
73,514170
74,507518
75,466895
76,412375
77,366147
78,374534
79,365174
80,347829
81,323241
82,299301
83,275483
84,245943
85,224531
86,207075
87,186581
88,163196
89,137054
90,528959
